cusip,comp_conm,tic,factiva_tag,factiva_name,sim
34954W10,FORTEGRA FINANCIAL CORP,FRF,,,
34956K20,FORTRESS GROUP INC,FRTG.,frtrsg,The Fortress Group Inc,0.918918918918919
34959E10,FORTINET INC,FTNT,fornt,Fortinet Inc.,1
34959J10,FORTIVE CORP,FTV,,,
34960Q10,FORTRESS BIOTECH INC,FBIO,,,
34960W10,FORTERRA INC,FRTA,mwgzqq,Forterra Inc.,1
34963X20,FORTUNE INDUSTRIES INC,FDVF,,,
34965T10,FORTUNE FINANCIAL INC,FORUE,mobamc,Fortune Financial Inc,1
34969Q10,FORTUNET INC,FNET,frtnti,Fortunet Inc,1
34983P10,FORTY SEVEN INC,FTSV,,,
34984130,FORUM GROUP INC,FOUR.2,forgi,"FORUM GROUP INC (IN), forgix",0.777777777777778
34985310,FORWARD AIR CORP,FWRD,lanser,Forward Air Corporation,0.8
34986230,FORWARD INDUSTRIES INC,FORD,fordi,Forward Industries Inc,1
34988V10,FOSSIL GROUP INC,FOSL,fossil,Fossil Group Inc,1
35006010,FOSTER (LB) CO,FSTR,,,
35039W10,FOUNDATION COAL HOLDINGS INC,FCL.2,fouchi,Foundation Coal Holdings Inc,1
35040110,FOUNDATION HEALTH CORP,FH.1,amhs,"Foundation Health Corp, amhsx",0.888888888888889
35046510,FOUNDATION MEDICINE INC,FMI,fndtmd,"Foundation Medicine Inc., sansyn",0.88
35063R10,FOUNDRY NETWORKS INC,FDRY,founet,Foundry Networks Inc,1
35087210,FOUR MEDIA CO,FOUR.1,fourm,FOUR MEDIA CO,1
35104210,4FRONT TECHNOLOGIES INC,FFTI.1,forfnt,4Front Technologies Inc,1
35107010,FOURTH FINANCIAL CORP,FRTH,ffinc,"Fourth Financial Corp, ffincx",0.863636363636364
35112810,FOURTH SHIFT CORP,FSFT,forshf,Fourth Shift Corp,1
35132110,FOX & HOUND RESTAURANT GROUP,FOXX,totrst,Fox & Hound Restaurant Group,1
35137T10,FOX CHASE BANCORP INC,FXCB,fxchbn,"Fox Chase Bancorp, Inc.",1
35138T10,FOX ENTERTAINMENT GROUP INC,FOX.3,,,
35160410,FOXBORO CO,FOX.1,fxbro,"FOXBORO CO, fxbrox",0.75
35165410,FOXMEYER CORP,8847B,,,
35166A10,FOXHOLLOW TECHNOLOGIES INC,FOXH,,,
35168810,FRAME TECHNOLOGY CORP/CA,FRAM,frmet,"FRAME TECHNOLOGY CORP, frmetx",0.863636363636364
35212820,FRANKFORT FIRST BANCORP INC,FKKY,frankf,Frankfort First Bancorp Inc,1
35242V10,FRANKLIN BANCORP INC/MI,FBCP.,,,
35243310,FRANKLIN BANCORPORATION INC,FNBC.1,frnknb,"FRANKLIN BANCORP INC, snatco",0.823529411764706
35245110,FRANKLIN BANK CORP,FBTXQ,fraban,Franklin Bank Corp,1
35346910,FRANKLIN COVEY CO,FC,frankq,Franklin Covey Co,1
35351410,FRANKLIN ELECTRIC CO INC,FELE,fele,"Franklin Electric Co Inc, felex",0.897959183673469
35352320,FRANKLIN FINANCIAL CORP/TN,FNFN,fkzinc,Franklin Financial Corp.,1
