cusip,st_date,en_date,num_art
03783310,2011-02-24,2011-02-24,122
03783310,2011-03-02,2011-03-02,225
03783310,2011-03-03,2011-03-03,145
03783310,2011-03-10,2011-03-10,116
03783310,2011-03-17,2011-03-17,118
03783310,2011-03-22,2011-03-22,139
03783310,2011-03-23,2011-03-23,133
03783310,2011-03-25,2011-03-25,104
03783310,2011-03-28,2011-03-28,123
03783310,2011-03-29,2011-03-29,142
03783310,2011-04-20,2011-04-20,179
03783310,2011-04-21,2011-04-21,187
03783310,2011-04-27,2011-04-27,130
03783310,2011-04-28,2011-04-28,137
03783310,2011-05-09,2011-05-09,113
03783310,2011-05-10,2011-05-10,157
03783310,2011-05-11,2011-05-11,108
03783310,2011-05-17,2011-05-17,107
03783310,2011-05-20,2011-05-20,103
03783310,2011-05-31,2011-05-31,118
03783310,2011-06-01,2011-06-01,148
03783310,2011-06-03,2011-06-03,101
03783310,2011-06-06,2011-06-06,277
03783310,2011-06-07,2011-06-07,166
03783310,2011-06-08,2011-06-08,139
03783310,2011-06-09,2011-06-09,138
03783310,2011-06-10,2011-06-10,107
03783310,2011-06-14,2011-06-14,164
03783310,2011-06-15,2011-06-15,149
03783310,2011-06-16,2011-06-16,103
03783310,2011-06-20,2011-06-20,116
03783310,2011-06-21,2011-06-21,127
03783310,2011-06-22,2011-06-22,112
03783310,2011-06-23,2011-06-23,124
03783310,2011-06-24,2011-06-24,112
03783310,2011-06-30,2011-06-30,129
03783310,2011-07-01,2011-07-01,157
03783310,2011-07-06,2011-07-06,123
03783310,2011-07-07,2011-07-07,144
03783310,2011-07-12,2011-07-12,110
03783310,2011-07-13,2011-07-13,102
03783310,2011-07-14,2011-07-14,109
03783310,2011-07-18,2011-07-18,118
03783310,2011-07-19,2011-07-19,180
03783310,2011-07-20,2011-07-20,278
03783310,2011-07-21,2011-07-21,168
03783310,2011-07-22,2011-07-22,121
03783310,2011-08-03,2011-08-03,104
03783310,2011-08-10,2011-08-10,118
03783310,2011-08-11,2011-08-11,107
03783310,2011-08-15,2011-08-15,165
03783310,2011-08-16,2011-08-16,155
03783310,2011-08-17,2011-08-17,104
03783310,2011-08-18,2011-08-18,106
03783310,2011-08-19,2011-08-19,114
03783310,2011-08-22,2011-08-22,106
03783310,2011-08-24,2011-08-24,204
03783310,2011-08-25,2011-08-25,421
03783310,2011-08-26,2011-08-26,167
03783310,2011-09-01,2011-09-01,134
03783310,2011-09-20,2011-09-20,111
03783310,2011-09-21,2011-09-21,106
03783310,2011-09-26,2011-09-26,111
03783310,2011-09-27,2011-09-27,139
03783310,2011-09-28,2011-09-28,181
03783310,2011-09-29,2011-09-29,138
03783310,2011-10-03,2011-10-03,126
03783310,2011-10-04,2011-10-04,464
03783310,2011-10-05,2011-10-05,301
03783310,2011-10-06,2011-10-06,495
03783310,2011-10-07,2011-10-07,261
03783310,2011-10-10,2011-10-10,178
03783310,2011-10-11,2011-10-11,134
03783310,2011-10-12,2011-10-12,133
03783310,2011-10-13,2011-10-13,182
03783310,2011-10-14,2011-10-14,290
03783310,2011-10-17,2011-10-17,217
03783310,2011-10-18,2011-10-18,220
03783310,2011-10-19,2011-10-19,236
03783310,2011-10-20,2011-10-20,154
03783310,2011-10-24,2011-10-24,108
03783310,2011-10-25,2011-10-25,101
03783310,2011-11-01,2011-11-01,108
03783310,2011-11-03,2011-11-03,102
03783310,2011-11-04,2011-11-04,101
03783310,2011-11-15,2011-11-15,151
03783310,2011-11-16,2011-11-16,117
03783310,2011-11-17,2011-11-17,104
03783310,2011-12-01,2011-12-01,115
03783310,2011-12-07,2011-12-07,101
03783310,2011-12-12,2011-12-12,105
03783310,2011-12-13,2011-12-13,103
03783310,2011-12-19,2011-12-19,108
03783310,2011-12-20,2011-12-20,116
03783310,2012-01-09,2012-01-09,117
03783310,2012-01-10,2012-01-10,132
03783310,2012-01-11,2012-01-11,107
03783310,2012-01-13,2012-01-13,128
